Time,solar_323691,solar_323752
2020-01-01 00:00:00+00:00,0.0,0.0
2020-01-01 01:00:00+00:00,0.0,0.0
2020-01-01 02:00:00+00:00,0.0,0.0
2020-01-01 03:00:00+00:00,0.0,0.0
2020-01-01 04:00:00+00:00,0.0,0.0
2020-01-01 05:00:00+00:00,0.0,0.0
2020-01-01 06:00:00+00:00,0.0,0.0
2020-01-01 07:00:00+00:00,0.0,0.0
2020-01-01 08:00:00+00:00,0.0,0.0
2020-01-01 09:00:00+00:00,0.0,0.0
2020-01-01 10:00:00+00:00,0.0,0.0
2020-01-01 11:00:00+00:00,0.0,0.0
2020-01-01 12:00:00+00:00,0.0,0.0
2020-01-01 13:00:00+00:00,8.852739444864302,6.965158115684713
2020-01-01 14:00:00+00:00,15.688896951067354,12.422330359539952
2020-01-01 15:00:00+00:00,20.588531611517933,16.331095497748166
2020-01-01 16:00:00+00:00,23.33376976410734,18.514323694949933
2020-01-01 17:00:00+00:00,24.0615539558542,19.12054695988614
2020-01-01 18:00:00+00:00,22.91005425305515,18.211816190181004
2020-01-01 19:00:00+00:00,19.699664639095232,15.651753417835925
2020-01-01 20:00:00+00:00,14.308135276510754,11.366488089551407
2020-01-01 21:00:00+00:00,4.6387591648786755,3.692260159121358
2020-01-01 22:00:00+00:00,0.0,0.0
2020-01-01 23:00:00+00:00,0.0,0.0
2020-01-02 00:00:00+00:00,0.0,0.0
2020-01-02 01:00:00+00:00,0.0,0.0
2020-01-02 02:00:00+00:00,0.0,0.0
2020-01-02 03:00:00+00:00,0.0,0.0
2020-01-02 04:00:00+00:00,0.0,0.0
2020-01-02 05:00:00+00:00,0.0,0.0
2020-01-02 06:00:00+00:00,0.0,0.0
2020-01-02 07:00:00+00:00,0.0,0.0
2020-01-02 08:00:00+00:00,0.0,0.0
2020-01-02 09:00:00+00:00,0.0,0.0
2020-01-02 10:00:00+00:00,0.0,0.0
2020-01-02 11:00:00+00:00,0.0,0.0
2020-01-02 12:00:00+00:00,0.0,0.0
2020-01-02 13:00:00+00:00,9.129107971394207,7.173186829441175
